nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y
53,-2.8915086,-0.4422859,-0.1683942,-0.10645214,-0.19095558,-0.09511639,1.7366941,4.4186487,8.598476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,-2.8918653,-0.44291985,-0.16889492,-0.10006055,-0.13236603,-0.09405113,1.6732477,4.465336,8.5422125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,-2.8768482,-0.43168986,-0.17334563,-0.09153844,-0.032231174,-0.09831219,1.5619173,4.409072,8.781632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,-2.8789425,-0.43223172,-0.17307554,-0.010578342,-0.00986062,-0.09085534,1.3883377,4.3085155,8.611644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,-2.8814647,-0.43294215,-0.17257743,-0.009513077,0.014640462,-0.024808943,1.2770073,4.369568,8.555381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,-2.8836718,-0.43342486,-0.17224161,0.024575384,-0.019448001,0.011410047,1.3739725,4.3552027,8.748114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,-2.8932486,-0.4422995,-0.16650847,0.0661207,0.117971115,0.06467327,1.4326304,4.4425907,8.649952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,-2.8931808,-0.44290087,-0.1667503,0.03842382,0.12223217,0.09769647,1.5667057,4.506037,8.678682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,-2.8921278,-0.44364923,-0.1673442,0.099149756,0.006121276,0.08597696,1.6876129,4.50484,8.479963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,-2.8898299,-0.4446971,-0.16831723,0.060800232,-2.7031085E-4,0.048692703,1.7773955,4.4880805,8.100482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,-2.8875935,-0.44563678,-0.1693096,-0.03933462,0.030622358,0.012473714,1.8288708,4.529979,8.258499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,-2.8865135,-0.43925795,-0.166531,-0.047856737,-0.016249277,-0.016288426,1.7797897,4.4844894,8.514679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,-2.8859215,-0.43982366,-0.16709122,-0.044660944,-0.058859855,-0.059964266,1.7019781,4.444985,8.63798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,-2.8865445,-0.44048062,-0.16709246,-0.067031495,0.019969713,-0.05357268,1.4829087,4.5575128,8.7888155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,-2.8878675,-0.4409151,-0.16685548,-0.020159863,0.03594868,-0.025875805,1.3739725,4.4270287,8.779239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,-2.8891943,-0.44567874,-0.16077173,0.041625474,0.044470794,0.008212656,1.3260884,4.4425907,8.574534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,-2.8892198,-0.44617173,-0.16113713,0.05334338,-0.0034661042,0.058280084,1.5331869,4.3767505,8.471583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,-2.888637,-0.4463939,-0.16185693,-0.003115632,-0.07909988,0.05721482,1.7067665,4.288165,8.545804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,-2.888426,-0.44675633,-0.16234809,0.01179807,-0.015184013,0.06467167,1.6445173,4.4461823,8.719383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,-2.8884263,-0.4475656,-0.16258205,0.01179807,0.006121276,0.07106326,1.5044565,4.6030025,8.556578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,-2.89759,-0.4474858,-0.16637029,0.012863334,-0.008792426,0.027387416,1.5236101,4.601805,8.647557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,-2.8983634,-0.44817495,-0.16617677,0.052278116,0.017839184,0.015669508,1.3703812,4.5934258,8.673894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,-2.8981063,-0.44876736,-0.16642381,0.10021502,0.0029254823,0.065736935,1.5535376,4.529979,8.60925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,-2.8958762,-0.44911215,-0.16763888,0.097019225,-0.015184013,0.07212852,2.0012534,4.468927,8.657134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,-2.9029384,-0.46182263,-0.1737939,0.10234555,-0.0045313686,0.040170588,1.9952679,4.3982983,8.483555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,-2.8996356,-0.46221492,-0.17515324,0.09380239,0.01889433,0.044436708,1.9820998,4.325275,8.038233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
