nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y,x
7688,-0.9845571,-0.06872735,-1.4605645,-0.017410416,-0.035153728,-0.045540053,-0.48871642,-0.032920275,0.16340427,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7689,-0.98034674,-0.06872924,-1.4605576,-0.032324117,0.033023197,0.08442221,-0.18644845,0.1818097,0.28476036,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7690,-0.97843885,-0.066676036,-1.4610158,0.022004368,-0.0031957934,0.050333746,0.27129298,0.13796587,0.03755904,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7691,-0.97693765,-0.06600418,-1.4611583,0.0049601374,-0.002130529,0.021571605,0.19243397,0.012419921,0.052822076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7692,-0.9753844,-0.06605295,-1.4615296,-0.003561978,0.0,0.020506341,0.027234044,0.07466917,-0.004638766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7693,-0.9731415,-0.06601521,-1.4620986,6.9907977E-4,-0.06072007,-0.014647386,0.09247604,0.15667057,0.104895964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7694,-0.971117,-0.06715363,-1.4642587,6.9907977E-4,-0.061785337,-0.02530003,-0.10729016,0.030226797,0.13751696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7695,-0.97003126,-0.067389175,-1.4662898,0.04437492,-0.07137272,0.04181163,-0.38292262,0.1038485,0.110731825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7696,-0.9708295,-0.06484226,-1.4689221,0.042244393,-0.027696876,0.1025317,-0.15307927,0.00808043,-0.18255788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7697,-0.96944106,-0.06354132,-1.4688085,0.016678046,-0.02130529,0.06737798,0.1285387,0.08678981,0.18644845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7698,-0.96959275,-0.062069982,-1.4694948,0.043309655,0.034088463,0.036485307,0.07377134,0.040252518,0.014065935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7699,-0.97021884,-0.061525404,-1.468625,0.04863598,0.05006743,0.019441076,-0.008529344,0.06239888,-0.15382746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7700,-0.9700255,-0.060443264,-1.4670441,0.0017643442,0.068176925,0.05352954,-0.2311901,-0.046537295,-0.18136078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7701,-0.9702784,-0.057111595,-1.4691057,0.05609283,-0.099069595,0.120641194,0.02813187,0.0052373162,0.08334815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7702,-0.9710386,-0.055658173,-1.4712895,-0.007823036,0.044741105,0.08442221,0.18644845,-0.047135845,-0.5231331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7703,-0.968361,-0.053484138,-1.4682128,-0.20276643,0.24288028,0.020506341,0.20635025,0.001496376,-0.6135142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7704,-0.9559868,-0.051647965,-1.4561139,-0.25816017,0.26844662,0.06098639,-0.295235,-0.069132574,0.75237787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7705,-0.95240676,-0.04802856,-1.4535416,0.06568021,-0.068176925,0.122771725,0.15562311,0.1666963,0.86759883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7706,-0.95551115,-0.047258183,-1.4540396,0.08911603,0.078829564,0.013049489,0.3883096,0.06898294,-0.19722237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7707,-0.9555789,-0.047961272,-1.4526005,0.020939104,0.10546118,-0.050866377,0.026635494,-0.074818805,-0.13811551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7708,-0.953876,-0.048583187,-1.448707,0.011351724,0.06072007,0.034354776,-0.358831,-0.091578215,0.22819735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
